# Archivo de minimos de embalses con holgura (plpminembh.dat)
# Numero de embalses con mantenimientos
 2 
# Nombre del embalse
'COLBUN'
#   Numero de Etapas con vmin
    60
# Etapa     VolMin     Costo
     001  1.0010195    10.0000
     002  1.0053515    10.0000
     003  1.0096809    10.0000
     004  1.0136010    10.0000
     005  1.0220022    10.0000
     006  1.0311283    10.0000
     007  1.0391047    10.0000
     008  1.0480771    10.0000
     009  1.0482108    10.0000
     010  1.0482108    10.0000
     011  1.0482108    10.0000
     012  1.0480771    10.0000
     013  1.0480771    10.0000
     014  1.0480771    10.0000
     015  1.0480771    10.0000
     016  1.0480771    10.0000
     017  1.0480771    10.0000
     018  1.0480771    10.0000
     019  1.0480771    10.0000
     020  1.0480771    10.0000
     021  1.0480771    10.0000
     022  1.0480771    10.0000
     023  1.0480771    10.0000
     024  1.0480771    10.0000
     028  0.5877558    10.0000
     029  0.7960364    10.0000
     030  0.9961999    10.0000
     031  1.0131914    10.0000
     032  1.0479422    10.0000
     033  1.0479422    10.0000
     034  1.0479422    10.0000
     035  1.0479422    10.0000
     036  1.0479422    10.0000
     040  0.5877558    10.0000
     041  0.7960364    10.0000
     042  0.9961999    10.0000
     043  1.0131914    10.0000
     044  1.0479422    10.0000
     045  1.0479422    10.0000
     046  1.0479422    10.0000
     047  1.0479422    10.0000
     048  1.0479422    10.0000
     052  0.5877558    10.0000
     053  0.7960364    10.0000
     054  0.9961999    10.0000
     055  1.0131914    10.0000
     056  1.0479422    10.0000
     057  1.0479422    10.0000
     058  1.0479422    10.0000
     059  1.0479422    10.0000
     060  1.0479422    10.0000
     064  0.5877558    10.0000
     065  0.7960364    10.0000
     066  0.9961999    10.0000
     067  1.0131914    10.0000
     068  1.0479422    10.0000
     069  1.0479422    10.0000
     070  1.0479422    10.0000
     071  1.0479422    10.0000
     072  1.0479422    10.0000
# Nombre del embalse
'RAPEL'
#   Numero de Etapas con vmin
    72
# Etapa     VolMin     Costo
     001  0.4474912    10.0000
     002  0.4607506    10.0000
     003  0.4721129    10.0000
     004  0.4836566    10.0000
     005  0.4939073    10.0000
     006  0.5035519    10.0000
     007  0.5050465    10.0000
     008  0.5050465    10.0000
     009  0.5050465    10.0000
     010  0.5050465    10.0000
     011  0.5050465    10.0000
     012  0.5050465    10.0000
     013  0.5050465    10.0000
     014  0.5050465    10.0000
     015  0.5050465    10.0000
     016  0.5050465    10.0000
     017  0.5050465    10.0000
     018  0.5050465    10.0000
     019  0.5050465    10.0000
     020  0.5050465    10.0000
     021  0.4750745    10.0000
     022  0.4422712    10.0000
     023  0.4109797    10.0000
     024  0.3811632    10.0000
     025  0.3221185    10.0000
     026  0.2723049    10.0000
     027  0.2723049    10.0000
     028  0.2723049    10.0000
     029  0.4170847    10.0000
     030  0.4331282    10.0000
     031  0.4836566    10.0000
     032  0.5050465    10.0000
     033  0.5050465    10.0000
     034  0.5050465    10.0000
     035  0.5050465    10.0000
     036  0.3811632    10.0000
     037  0.3221185    10.0000
     038  0.2723049    10.0000
     039  0.2723049    10.0000
     040  0.2723049    10.0000
     041  0.4170847    10.0000
     042  0.4331282    10.0000
     043  0.4836566    10.0000
     044  0.5050465    10.0000
     045  0.5050465    10.0000
     046  0.5050465    10.0000
     047  0.5006913    10.0000
     048  0.3790909    10.0000
     049  0.3221185    10.0000
     050  0.2723049    10.0000
     051  0.2723049    10.0000
     052  0.2723049    10.0000
     053  0.4170847    10.0000
     054  0.4331282    10.0000
     055  0.4836566    10.0000
     056  0.5050465    10.0000
     057  0.5050465    10.0000
     058  0.5050465    10.0000
     059  0.5050465    10.0000
     060  0.3790909    10.0000
     061  0.3221185    10.0000
     062  0.2723049    10.0000
     063  0.2723049    10.0000
     064  0.2723049    10.0000
     065  0.4170847    10.0000
     066  0.4331282    10.0000
     067  0.4836566    10.0000
     068  0.5050465    10.0000
     069  0.5050465    10.0000
     070  0.5050465    10.0000
     071  0.5050465    10.0000
     072  0.3790909    10.0000
